id,state,nums
0,Alabama,0
1,Alabama,0
2,Alabama,0
3,Alabama,0
4,Alabama,0
5,Alabama,1
6,Alabama,0
7,Alabama,1
8,Alabama,1
9,Alabama,0
10,Alabama,0
11,Alabama,0
0,Alaska,0
1,Alaska,0
2,Alaska,0
3,Alaska,0
4,Alaska,0
5,Alaska,0
6,Alaska,0
7,Alaska,1
8,Alaska,0
9,Alaska,1
10,Alaska,1
11,Alaska,0
12,Alaska,0
13,Alaska,1
0,Arizona,0
1,Arizona,0
2,Arizona,0
3,Arizona,0
4,Arizona,0
5,Arizona,0
6,Arizona,0
7,Arizona,1
8,Arizona,1
9,Arizona,0
10,Arizona,1
11,Arizona,0
12,Arizona,0
0,Arkansas,0
1,Arkansas,0
2,Arkansas,0
3,Arkansas,0
4,Arkansas,0
5,Arkansas,0
6,Arkansas,0
7,Arkansas,1
8,Arkansas,1
9,Arkansas,1
10,Arkansas,1
11,Arkansas,1
12,Arkansas,0
13,Arkansas,1
0,California,0
1,California,1
2,California,0
3,California,1
4,California,1
5,California,1
6,California,0
7,California,1
8,California,1
9,California,1
10,California,1
11,California,0
12,California,1
13,California,1
14,California,1
15,California,1
16,California,1
0,Colorado,0
1,Colorado,0
2,Colorado,0
3,Colorado,1
4,Colorado,0
5,Colorado,1
6,Colorado,0
7,Colorado,1
8,Colorado,0
9,Colorado,0
10,Colorado,1
11,Colorado,1
12,Colorado,0
13,Colorado,1
14,Colorado,1
0,Connecticut,1
1,Connecticut,0
2,Connecticut,1
3,Connecticut,1
4,Connecticut,1
5,Connecticut,1
6,Connecticut,1
7,Connecticut,1
8,Connecticut,0
9,Connecticut,1
10,Connecticut,1
11,Connecticut,0
12,Connecticut,0
13,Connecticut,1
14,Connecticut,1
0,Delaware,0
1,Delaware,0
2,Delaware,1
3,Delaware,1
4,Delaware,0
5,Delaware,1
6,Delaware,0
7,Delaware,0
8,Delaware,1
9,Delaware,0
10,Delaware,1
11,Delaware,1
0,Florida,0
1,Florida,1
2,Florida,0
3,Florida,0
4,Florida,0
5,Florida,0
6,Florida,1
7,Florida,1
8,Florida,0
9,Florida,1
10,Florida,1
11,Florida,1
12,Florida,0
13,Florida,0
14,Florida,1
0,Georgia,0
1,Georgia,0
2,Georgia,0
3,Georgia,0
4,Georgia,0
5,Georgia,0
6,Georgia,0
7,Georgia,1
8,Georgia,1
9,Georgia,0
10,Georgia,0
11,Georgia,0
0,Hawaii,1
1,Hawaii,1
2,Hawaii,1
3,Hawaii,1
4,Hawaii,0
5,Hawaii,1
6,Hawaii,1
7,Hawaii,1
8,Hawaii,1
9,Hawaii,0
10,Hawaii,1
11,Hawaii,1
12,Hawaii,1
0,Idaho,0
1,Idaho,0
2,Idaho,0
3,Idaho,0
4,Idaho,0
5,Idaho,0
6,Idaho,0
7,Idaho,1
8,Idaho,1
9,Idaho,0
10,Idaho,0
11,Idaho,0
0,Illinois,1
1,Illinois,1
2,Illinois,0
3,Illinois,1
4,Illinois,0
5,Illinois,1
6,Illinois,0
7,Illinois,0
8,Illinois,0
9,Illinois,1
10,Illinois,0
11,Illinois,1
12,Illinois,1
13,Illinois,1
14,Illinois,1
15,Illinois,1
16,Illinois,1
0,Illinois,1
1,Illinois,1
2,Illinois,0
3,Illinois,1
4,Illinois,0
5,Illinois,1
6,Illinois,0
7,Illinois,0
8,Illinois,0
9,Illinois,1
10,Illinois,0
11,Illinois,1
12,Illinois,1
13,Illinois,1
14,Illinois,1
15,Illinois,1
16,Illinois,1
0,Iowa,0
1,Iowa,0
2,Iowa,0
3,Iowa,0
4,Iowa,0
5,Iowa,0
6,Iowa,0
7,Iowa,1
8,Iowa,1
9,Iowa,1
10,Iowa,1
11,Iowa,1
12,Iowa,0
13,Iowa,0
0,Kansas,0
1,Kansas,0
2,Kansas,0
3,Kansas,0
4,Kansas,0
5,Kansas,0
6,Kansas,0
7,Kansas,1
8,Kansas,1
9,Kansas,0
10,Kansas,1
11,Kansas,0
12,Kansas,0
0,Kentucky,0
1,Kentucky,0
2,Kentucky,0
3,Kentucky,0
4,Kentucky,0
5,Kentucky,0
6,Kentucky,0
7,Kentucky,1
8,Kentucky,1
9,Kentucky,0
10,Kentucky,1
11,Kentucky,0
12,Kentucky,0
0,Louisiana,0
1,Louisiana,0
2,Louisiana,0
3,Louisiana,0
4,Louisiana,0
5,Louisiana,1
6,Louisiana,0
7,Louisiana,1
8,Louisiana,1
9,Louisiana,0
10,Louisiana,0
11,Louisiana,0
12,Louisiana,1
0,Maine,0
1,Maine,0
2,Maine,0
3,Maine,0
4,Maine,0
5,Maine,1
6,Maine,0
7,Maine,0
8,Maine,0
9,Maine,1
10,Maine,0
11,Maine,1
12,Maine,0
13,Maine,0
14,Maine,1
0,Maryland,1
1,Maryland,1
2,Maryland,0
3,Maryland,1
4,Maryland,1
5,Maryland,1
6,Maryland,1
7,Maryland,1
8,Maryland,0
9,Maryland,1
10,Maryland,1
0,Massachusetts,1
1,Massachusetts,0
2,Massachusetts,1
3,Massachusetts,1
4,Massachusetts,1
5,Massachusetts,0
6,Massachusetts,1
7,Massachusetts,1
8,Massachusetts,1
9,Massachusetts,1
10,Massachusetts,1
0,Michigan,1
1,Michigan,1
2,Michigan,0
3,Michigan,0
4,Michigan,0
5,Michigan,1
6,Michigan,0
7,Michigan,1
8,Michigan,1
9,Michigan,0
10,Michigan,1
11,Michigan,1
12,Michigan,1
0,Minnesota,1
1,Minnesota,0
2,Minnesota,0
3,Minnesota,0
4,Minnesota,0
5,Minnesota,1
6,Minnesota,1
7,Minnesota,1
8,Minnesota,1
9,Minnesota,1
10,Minnesota,0
0,Mississippi,0
1,Mississippi,0
2,Mississippi,0
3,Mississippi,0
4,Mississippi,0
5,Mississippi,0
6,Mississippi,0
7,Mississippi,1
8,Mississippi,1
9,Mississippi,0
10,Mississippi,0
11,Mississippi,0
0,Missouri,0
1,Missouri,0
2,Missouri,0
3,Missouri,0
4,Missouri,0
5,Missouri,0
6,Missouri,0
7,Missouri,1
8,Missouri,1
9,Missouri,0
10,Missouri,1
11,Missouri,0
0,Montana,0
1,Montana,0
2,Montana,0
3,Montana,0
4,Montana,0
5,Montana,0
6,Montana,0
7,Montana,1
8,Montana,1
9,Montana,0
10,Montana,0
11,Montana,0
0,Nebraska,1
1,Nebraska,1
2,Nebraska,0
3,Nebraska,0
4,Nebraska,0
5,Nebraska,1
6,Nebraska,0
7,Nebraska,0
8,Nebraska,0
9,Nebraska,0
10,Nebraska,0
11,Nebraska,1
12,Nebraska,1
13,Nebraska,1
0,Nevada,0
1,Nevada,0
2,Nevada,0
3,Nevada,1
4,Nevada,0
5,Nevada,1
6,Nevada,0
7,Nevada,0
8,Nevada,0
9,Nevada,1
10,Nevada,1
0,New Hampshire,0
1,New Hampshire,0
2,New Hampshire,0
3,New Hampshire,0
4,New Hampshire,0
5,New Hampshire,0
6,New Hampshire,0
7,New Hampshire,1
8,New Hampshire,1
9,New Hampshire,0
10,New Hampshire,0
11,New Hampshire,0
0,New Jersey,1
1,New Jersey,1
2,New Jersey,0
3,New Jersey,1
4,New Jersey,1
5,New Jersey,0
6,New Jersey,1
7,New Jersey,1
8,New Jersey,1
9,New Jersey,1
10,New Jersey,1
0,New Mexico,0
1,New Mexico,0
2,New Mexico,0
3,New Mexico,0
4,New Mexico,0
5,New Mexico,1
6,New Mexico,0
7,New Mexico,1
8,New Mexico,0
9,New Mexico,0
10,New Mexico,0
11,New Mexico,0
12,New Mexico,1
13,New Mexico,1
14,New Mexico,0
15,New Mexico,1
16,New Mexico,0
17,New Mexico,1
18,New Mexico,1
0,New York,1
1,New York,1
2,New York,1
3,New York,1
4,New York,0
5,New York,1
6,New York,1
7,New York,1
8,New York,0
9,New York,0
10,New York,1
11,New York,1
12,New York,1
13,New York,1
0,North Carolina,1
1,North Carolina,0
2,North Carolina,0
3,North Carolina,0
4,North Carolina,0
5,North Carolina,1
6,North Carolina,0
7,North Carolina,1
8,North Carolina,1
9,North Carolina,0
10,North Carolina,1
11,North Carolina,0
12,North Carolina,1
13,North Carolina,1
0,North Dakota,0
1,North Dakota,0
2,North Dakota,0
3,North Dakota,0
4,North Dakota,0
5,North Dakota,0
6,North Dakota,1
7,North Dakota,1
8,North Dakota,1
9,North Dakota,0
10,North Dakota,1
11,North Dakota,0
12,North Dakota,0
13,North Dakota,1
0,Ohio,0
1,Ohio,0
2,Ohio,0
3,Ohio,0
4,Ohio,0
5,Ohio,0
6,Ohio,0
7,Ohio,1
8,Ohio,1
9,Ohio,0
10,Ohio,1
11,Ohio,0
12,Ohio,0
13,Ohio,0
14,Ohio,1
0,Oklahoma,0
1,Oklahoma,0
2,Oklahoma,0
3,Oklahoma,0
4,Oklahoma,0
5,Oklahoma,0
6,Oklahoma,0
7,Oklahoma,0
8,Oklahoma,1
9,Oklahoma,1
10,Oklahoma,0
11,Oklahoma,1
12,Oklahoma,0
13,Oklahoma,0
0,Oregon,0
1,Oregon,0
2,Oregon,0
3,Oregon,0
4,Oregon,0
5,Oregon,0
6,Oregon,1
7,Oregon,0
8,Oregon,1
9,Oregon,0
10,Oregon,1
11,Oregon,1
12,Oregon,1
0,Pennsylvania,0
1,Pennsylvania,0
2,Pennsylvania,0
3,Pennsylvania,0
4,Pennsylvania,0
5,Pennsylvania,1
6,Pennsylvania,0
7,Pennsylvania,1
8,Pennsylvania,1
9,Pennsylvania,0
10,Pennsylvania,1
11,Pennsylvania,1
0,Rhode Island,1
1,Rhode Island,0
2,Rhode Island,0
3,Rhode Island,0
4,Rhode Island,1
5,Rhode Island,1
6,Rhode Island,1
7,Rhode Island,1
8,Rhode Island,1
9,Rhode Island,1
10,Rhode Island,1
11,Rhode Island,1
12,Rhode Island,1
13,Rhode Island,1
14,Rhode Island,1
0,South Carolina,0
1,South Carolina,0
2,South Carolina,0
3,South Carolina,0
4,South Carolina,0
5,South Carolina,1
6,South Carolina,1
7,South Carolina,1
8,South Carolina,1
9,South Carolina,0
10,South Carolina,0
11,South Carolina,0
12,South Carolina,1
0,South Dakota,0
1,South Dakota,0
2,South Dakota,0
3,South Dakota,0
4,South Dakota,0
5,South Dakota,0
6,South Dakota,0
7,South Dakota,1
8,South Dakota,1
9,South Dakota,0
10,South Dakota,0
11,South Dakota,0
0,Tennessee,0
1,Tennessee,0
2,Tennessee,0
3,Tennessee,0
4,Tennessee,0
5,Tennessee,0
6,Tennessee,0
7,Tennessee,1
8,Tennessee,1
9,Tennessee,0
10,Tennessee,1
11,Tennessee,0
12,Tennessee,0
0,Texas,0
1,Texas,0
2,Texas,0
3,Texas,0
4,Texas,0
5,Texas,0
6,Texas,0
7,Texas,1
8,Texas,1
9,Texas,1
10,Texas,0
11,Texas,1
12,Texas,0
13,Texas,1
0,Utah,0
1,Utah,0
2,Utah,0
3,Utah,0
4,Utah,0
5,Utah,0
6,Utah,0
7,Utah,1
8,Utah,1
9,Utah,1
10,Utah,0
11,Utah,1
12,Utah,1
13,Utah,0
0,Vermont,0
1,Vermont,0
2,Vermont,0
3,Vermont,1
4,Vermont,0
5,Vermont,0
6,Vermont,0
7,Vermont,1
8,Vermont,0
9,Vermont,1
10,Vermont,1
0,Virginia,0
1,Virginia,0
2,Virginia,0
3,Virginia,1
4,Virginia,0
5,Virginia,1
6,Virginia,1
7,Virginia,0
8,Virginia,0
9,Virginia,1
10,Virginia,1
0,Washington,0
1,Washington,0
2,Washington,0
3,Washington,1
4,Washington,1
5,Washington,0
6,Washington,1
7,Washington,1
8,Washington,1
9,Washington,0
10,Washington,0
11,Washington,0
12,Washington,1
13,Washington,1
0,West Virginia,0
1,West Virginia,0
2,West Virginia,0
3,West Virginia,0
4,West Virginia,0
5,West Virginia,0
6,West Virginia,0
7,West Virginia,1
8,West Virginia,1
9,West Virginia,0
10,West Virginia,1
11,West Virginia,0
12,West Virginia,0
0,Wisconsin,1
1,Wisconsin,0
2,Wisconsin,0
3,Wisconsin,0
4,Wisconsin,0
5,Wisconsin,1
6,Wisconsin,0
7,Wisconsin,1
8,Wisconsin,1
9,Wisconsin,0
10,Wisconsin,0
11,Wisconsin,0
0,Wyoming,0
1,Wyoming,0
2,Wyoming,0
3,Wyoming,0
4,Wyoming,0
5,Wyoming,0
6,Wyoming,0
7,Wyoming,1
8,Wyoming,1
9,Wyoming,0
10,Wyoming,0
